nom site,Polluant,valeur brute
Boulogne Diderot,PM10,12.448076923076922
Boulogne Diderot,PM2.5,5.592307692307693
Bourg-en-Bresse,NO,-0.17500000000000004
Bourg-en-Bresse,NO2,6.095833333333335
Bourg-en-Bresse,O3,37.57083333333333
Bourg-en-Bresse,PM10,7.976923076923076
Bourg-en-Bresse,PM2.5,6.06923076923077
Bourges-Baffier,NO,6.0807692307692305
Bourges-Baffier,NO2,13.482692307692304
Bourges-Baffier,NOX as NO2,22.275000000000002
Bourges-Baffier,PM10,10.691666666666665
Bourgoin-Jallieu,NO,0.7019230769230769
Bourgoin-Jallieu,NO2,10.459615384615383
Bourgoin-Jallieu,O3,34.49807692307692
Bourgoin-Jallieu,PM10,15.270454545454545
Brest Desmoulins,NO,27.849999999999998
Brest Desmoulins,NO2,32.830769230769235
Brest Desmoulins,NOX as NO2,75.52307692307691
Brest Desmoulins,PM10,9.983333333333333
Brest Mace,NO,3.8115384615384613
Brest Mace,NO2,19.76923076923077
Brest Mace,NOX as NO2,26.346153846153843
Brest Mace,O3,40.58269230769231
Brest Mace,PM10,7.7250000000000005
Brest Mace,PM2.5,1.8916666666666668
Bures-en-bray,O3,38.56923076923077
C.C.3 Frontières,NO,1.8520833333333335
C.C.3 Frontières,NO2,11.299999999999999
C.C.3 Frontières,NOX as NO2,14.029166666666669
C.C.3 Frontières,PM10,4.381818181818182
CAME,NO,1.2750000000000001
CAME,NO2,7.147916666666667
CAME,NOX as NO2,9.027083333333332
CAME,PM10,9.2875
CAME,PM2.5,7.177083333333332
CAME,SO2,0.225
CAMEE,NO,26.152083333333337
CAMEE,NO2,27.543750000000003
CAMEE,NOX as NO2,67.63541666666667
CAMEE,PM10,17.658333333333335
CAMEE,PM2.5,20.208333333333336
CANNES BROUSSAILLES,NO,2.6756407692307698
CANNES BROUSSAILLES,NO2,12.375640769230769
CANNES BROUSSAILLES,NOX as NO2,16.467948461538462
CANNES BROUSSAILLES,O3,51.85769230769232
CANNES BROUSSAILLES,PM10,6.64423076923077
CANNES BROUSSAILLES,PM2.5,3.8134615384615382
CARPENTRAS,O3,66.60192307692309
CERGY-PONTOISE,O3,38.40769230769231
CERGY-PONTOISE,PM10,11.277083333333332
CHALONS,NO,1.7403846153846152
CHALONS,NO2,11.446153846153845
CHALONS,NOX as NO2,14.065384615384618
CHALONS,O3,23.00576923076923
CHALONS,PM10,13.166666666666666
CHAMBERY LE HAUT,NO,1.9519230769230769
CHAMBERY LE HAUT,NO2,15.89615384615385
CHAMBERY LE HAUT,O3,21.53461538461539
CHAMBERY LE HAUT,PM10,13.320454545454545
CHAMONIX,NO,10.065384615384618
CHAMONIX,NO2,16.785897692307692
CHAMONIX,PM10,8.992307692307692
CHAMPIGNY-SUR-MARNE,NO,21.326923076923077
CHAMPIGNY-SUR-MARNE,NO2,41.646153846153844
CHAMPIGNY-SUR-MARNE,NOX as NO2,74.38076923076923
CHAMPIGNY-SUR-MARNE,O3,10.949999999999998
CHAPITRE SETMI,PM10,3.3833333333333333
CHARLEVILLE,NO,3.819230769230769
CHARLEVILLE,NO2,7.644230769230768
CHARLEVILLE,NOX as NO2,13.426923076923078
CHARLEVILLE,O3,33.24807692307692
CHARLEVILLE,PM10,17.073076923076925
CIANS,O3,72.51987153846153
CIM BOUTEILLERIE,NO,2.5749999999999997
CIM BOUTEILLERIE,NO2,15.210416666666665
CIM BOUTEILLERIE,NOX as NO2,19.156250000000004
CIM BOUTEILLERIE,O3,26.53958333333334
CIM BOUTEILLERIE,PM10,9.689583333333333
CIM BOUTEILLERIE,PM2.5,6.900000000000001
CLOS DES BEAUVAIS,O3,23.481249999999992
CONTES 2,NO,10.43846153846154
CONTES 2,NO2,12.022436153846156
CONTES 2,NOX as NO2,28.048076923076923
CONTES 2,PM10,20.815384615384616
COTIERE AIN,NO,0.2711538461538462
COTIERE AIN,NO2,7.510897692307693
COTIERE AIN,O3,43.43269230769231
COTIERE AIN,PM10,8.45625
CUTULLIC2,SO2,1.1381941666666666
Caen Chemin-Vert,NO,3.3096153846153844
Caen Chemin-Vert,NO2,11.632692307692308
Caen Chemin-Vert,NOX as NO2,16.674999999999997
Caen Chemin-Vert,O3,43.50384615384616
Caen Chemin-Vert,PM10,6.925000000000001
Caen Chemin-Vert,PM2.5,3.8288461538461545
Caen Vaucelles,NO2,18.73269230769231
Caen Vaucelles,PM10,11.539583333333333
Caiena3,NO,-0.7049999999999998
Caiena3,NO2,0.7125
Caiena3,O3,42.997499999999995
Caiena3,PM10,16.240000000000002
Caiena3,PM2.5,5.5725
Calais Berthelot,PM10,13.356250000000003
Calais Berthelot,PM2.5,4.66875
Calais Parmentier,NO,3.933974615384616
Calais Parmentier,NO2,17.539743076923077
Calais Parmentier,NOX as NO2,23.576282307692306
Calais Parmentier,O3,40.726281538461535
Calais Parmentier,PM10,15.615909090909092
Calais Parmentier,SO2,1.5179484615384615
Campagne les B.,O3,44.119230769230775
Campagne les B.,PM2.5,4.426923076923076
Capitainerie,NO,1.1307692307692305
Capitainerie,NO2,8.165384615384616
Capitainerie,NOX as NO2,9.740384615384615
Capitainerie,O3,28.884615384615383
Cappelle la Grande,NO,1.4057692307692307
Cappelle la Grande,NO2,10.948076923076924
Cappelle la Grande,NOX as NO2,13.105769230769234
Cappelle la Grande,SO2,10.909615384615385
Cartignies,NO,0.5384615384615384
Cartignies,NO2,7.005769230769231
Cartignies,NOX as NO2,7.8173076923076925
Cartignies,O3,28.37564153846154
Cartignies,PM10,12.91590909090909
Cartignies,PM2.5,8.363636363636363
Caucriauville,SO2,2.763461538461539
Centre Hospitalier,NO,4.9096153846153845
Centre Hospitalier,NO2,21.121153846153845
Centre Hospitalier,NOX as NO2,28.611538461538462
Centre Hospitalier,O3,17.709615384615383
Centre Hospitalier,PM10,13.003846153846153
Centre Penitencier,NO,5.214062500000001
Centre Penitencier,NO2,10.715625000000001
Centre Penitencier,NOX as NO2,18.707812500000003
Centre Penitencier,SO2,0.42333333333333323
Chalampé,NO,1.6096153846153847
Chalampé,NO2,11.995513076923078
Chalampé,NOX as NO2,14.341666153846157
Chalon Centre Ville,NO,7.234615384615385
